The inputs were: n = 8, t = 582, d = 32, w = 200, v = 3, p = U, s = 3, output = output/parallel_overhead.txt, and everything took 5.076000 time 
The inputs were: n = 13, t = 374, d = 32, w = 200, v = 3, p = U, s = 3, output = output/parallel_overhead.txt, and everything took 4.852000 time 
The inputs were: n = 1, t = 1310, d = 32, w = 400, v = 3, p = U, s = 3, output = output/parallel_overhead.txt, and everything took 1.742000 time 
The inputs were: n = 8, t = 291, d = 32, w = 400, v = 3, p = U, s = 3, output = output/parallel_overhead.txt, and everything took 4.053000 time 
The inputs were: n = 13, t = 187, d = 32, w = 400, v = 3, p = U, s = 3, output = output/parallel_overhead.txt, and everything took 6.623000 time 
The inputs were: n = 1, t = 655, d = 32, w = 800, v = 3, p = U, s = 3, output = output/parallel_overhead.txt, and everything took 1.726000 time 
The inputs were: n = 8, t = 145, d = 32, w = 800, v = 3, p = U, s = 3, output = output/parallel_overhead.txt, and everything took 2.456000 time 
The inputs were: n = 13, t = 93, d = 32, w = 800, v = 3, p = U, s = 3, output = output/parallel_overhead.txt, and everything took 2.624000 time 
The inputs were: n = 1, t = 2621, d = 32, w = 200, v = 1, p = U, s = 4, output = output/parallel_overhead.txt, and everything took 2.443000 time 
The inputs were: n = 8, t = 582, d = 32, w = 200, v = 1, p = U, s = 4, output = output/parallel_overhead.txt, and everything took 3.827000 time 
The inputs were: n = 13, t = 374, d = 32, w = 200, v = 1, p = U, s = 4, output = output/parallel_overhead.txt, and everything took 3.626000 time 
The inputs were: n = 1, t = 1310, d = 32, w = 400, v = 1, p = U, s = 4, output = output/parallel_overhead.txt, and everything took 1.612000 time 
The inputs were: n = 8, t = 291, d = 32, w = 400, v = 1, p = U, s = 4, output = output/parallel_overhead.txt, and everything took 2.763000 time 
The inputs were: n = 13, t = 187, d = 32, w = 400, v = 1, p = U, s = 4, output = output/parallel_overhead.txt, and everything took 2.696000 time 
The inputs were: n = 1, t = 655, d = 32, w = 800, v = 1, p = U, s = 4, output = output/parallel_overhead.txt, and everything took 1.665000 time 
The inputs were: n = 8, t = 145, d = 32, w = 800, v = 1, p = U, s = 4, output = output/parallel_overhead.txt, and everything took 2.577000 time 
The inputs were: n = 13, t = 93, d = 32, w = 800, v = 1, p = U, s = 4, output = output/parallel_overhead.txt, and everything took 2.373000 time 
The inputs were: n = 1, t = 2621, d = 32, w = 200, v = 3, p = U, s = 4, output = output/parallel_overhead.txt, and everything took 2.913000 time 
The inputs were: n = 8, t = 582, d = 32, w = 200, v = 3, p = U, s = 4, output = output/parallel_overhead.txt, and everything took 4.696000 time 
The inputs were: n = 13, t = 374, d = 32, w = 200, v = 3, p = U, s = 4, output = output/parallel_overhead.txt, and everything took 4.504000 time 
The inputs were: n = 1, t = 1310, d = 32, w = 400, v = 3, p = U, s = 4, output = output/parallel_overhead.txt, and everything took 1.923000 time 
The inputs were: n = 8, t = 291, d = 32, w = 400, v = 3, p = U, s = 4, output = output/parallel_overhead.txt, and everything took 3.060000 time 
The inputs were: n = 13, t = 187, d = 32, w = 400, v = 3, p = U, s = 4, output = output/parallel_overhead.txt, and everything took 3.319000 time 
The inputs were: n = 1, t = 655, d = 32, w = 800, v = 3, p = U, s = 4, output = output/parallel_overhead.txt, and everything took 1.583000 time 
The inputs were: n = 8, t = 145, d = 32, w = 800, v = 3, p = U, s = 4, output = output/parallel_overhead.txt, and everything took 2.510000 time 
The inputs were: n = 13, t = 93, d = 32, w = 800, v = 3, p = U, s = 4, output = output/parallel_overhead.txt, and everything took 2.561000 time 
The inputs were: n = 1, t = 2621, d = 32, w = 200, v = 1, p = U, s = 5, output = output/parallel_overhead.txt, and everything took 2.543000 time 
The inputs were: n = 8, t = 582, d = 32, w = 200, v = 1, p = U, s = 5, output = output/parallel_overhead.txt, and everything took 6.284000 time 
The inputs were: n = 13, t = 374, d = 32, w = 200, v = 1, p = U, s = 5, output = output/parallel_overhead.txt, and everything took 3.873000 time 
The inputs were: n = 1, t = 1310, d = 32, w = 400, v = 1, p = U, s = 5, output = output/parallel_overhead.txt, and everything took 1.579000 time 
The inputs were: n = 8, t = 291, d = 32, w = 400, v = 1, p = U, s = 5, output = output/parallel_overhead.txt, and everything took 3.055000 time 
The inputs were: n = 13, t = 187, d = 32, w = 400, v = 1, p = U, s = 5, output = output/parallel_overhead.txt, and everything took 2.763000 time 
The inputs were: n = 1, t = 655, d = 32, w = 800, v = 1, p = U, s = 5, output = output/parallel_overhead.txt, and everything took 1.384000 time 
The inputs were: n = 8, t = 145, d = 32, w = 800, v = 1, p = U, s = 5, output = output/parallel_overhead.txt, and everything took 2.358000 time 
The inputs were: n = 13, t = 93, d = 32, w = 800, v = 1, p = U, s = 5, output = output/parallel_overhead.txt, and everything took 2.551000 time 
The inputs were: n = 1, t = 2621, d = 32, w = 200, v = 3, p = U, s = 5, output = output/parallel_overhead.txt, and everything took 2.840000 time 
The inputs were: n = 8, t = 582, d = 32, w = 200, v = 3, p = U, s = 5, output = output/parallel_overhead.txt, and everything took 4.787000 time 
The inputs were: n = 13, t = 374, d = 32, w = 200, v = 3, p = U, s = 5, output = output/parallel_overhead.txt, and everything took 4.616000 time 
The inputs were: n = 1, t = 1310, d = 32, w = 400, v = 3, p = U, s = 5, output = output/parallel_overhead.txt, and everything took 1.764000 time 
The inputs were: n = 8, t = 291, d = 32, w = 400, v = 3, p = U, s = 5, output = output/parallel_overhead.txt, and everything took 5.611000 time 
The inputs were: n = 13, t = 187, d = 32, w = 400, v = 3, p = U, s = 5, output = output/parallel_overhead.txt, and everything took 3.315000 time 
The inputs were: n = 1, t = 655, d = 32, w = 800, v = 3, p = U, s = 5, output = output/parallel_overhead.txt, and everything took 1.559000 time 
The inputs were: n = 8, t = 145, d = 32, w = 800, v = 3, p = U, s = 5, output = output/parallel_overhead.txt, and everything took 2.424000 time 
The inputs were: n = 13, t = 93, d = 32, w = 800, v = 3, p = U, s = 5, output = output/parallel_overhead.txt, and everything took 2.731000 time 
